model,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std
LogisticElasticNet,0.7778342028342028,0.05293381190052662,0.5640182024029049,0.0913695034305886,0.5493789290977343,0.09307018120691848
RandomForest,0.7457944832944834,0.0524050058920247,0.5336912114146216,0.09457590965091522,0.23683317771553067,0.12294609333698495
SVM,0.7794657194657193,0.06392944797429859,0.5734952625410633,0.09131985238630108,0.5369229913298047,0.07665524270425944
XGBoost,0.7126314426314426,0.03660077657750796,0.5008388834743136,0.07730194826259812,0.43300370808178196,0.0870706672761962
