clf__colsample_bytree,clf__learning_rate,clf__max_depth,clf__n_estimators,clf__subsample
0.8,0.01,3,200,1.0
0.8,0.01,6,200,1.0
1.0,0.01,3,200,1.0
0.8,0.1,6,200,1.0
0.8,0.01,3,500,1.0
0.8,0.1,3,200,1.0
0.8,0.01,3,200,0.8
0.8,0.1,3,200,1.0
0.8,0.1,3,200,1.0
1.0,0.01,3,500,0.8
0.8,0.01,6,500,0.8
0.8,0.1,3,200,1.0
1.0,0.1,3,200,1.0
0.8,0.01,3,500,0.8
1.0,0.01,3,500,1.0
