auroc,auprc,f1,recall,precision,specificity,accuracy,fold
0.7922077922077922,0.5798872809558917,0.6060606060606061,0.7142857142857143,0.5263157894736842,0.7954545454545454,0.7758620689655172,1
0.487012987012987,0.3480182134571098,0.32,0.2857142857142857,0.36363636363636365,0.8409090909090909,0.7068965517241379,2
0.6428571428571428,0.47746866453703585,0.45454545454545453,0.35714285714285715,0.625,0.9318181818181818,0.7931034482758621,3
0.49059829059829063,0.25274545895541134,0.2962962962962963,0.3076923076923077,0.2857142857142857,0.7777777777777778,0.6724137931034483,4
0.6223776223776224,0.411690640495972,0.25,0.15384615384615385,0.6666666666666666,0.9772727272727273,0.7894736842105263,5
0.4025974025974026,0.21086262840526854,0.0,0.0,0.0,1.0,0.7586206896551724,6
0.3717532467532468,0.2080520953244931,0.3,0.21428571428571427,0.5,0.9318181818181818,0.7586206896551724,7
0.5974025974025974,0.45471152450511143,0.3333333333333333,0.21428571428571427,0.75,0.9772727272727273,0.7931034482758621,8
0.30256410256410254,0.1729849594030057,0.21052631578947367,0.15384615384615385,0.3333333333333333,0.9111111111111111,0.7413793103448276,9
0.3531468531468532,0.20147615467125432,0.34782608695652173,0.3076923076923077,0.4,0.8636363636363636,0.7368421052631579,10
0.3993506493506494,0.21926883350249618,0.0,0.0,0.0,1.0,0.7586206896551724,11
0.4675324675324676,0.22500372307580546,0.08333333333333333,0.07142857142857142,0.1,0.7954545454545454,0.6206896551724138,12
0.2435064935064935,0.1683200861992969,0.0,0.0,0.0,1.0,0.7586206896551724,13
0.5555555555555556,0.3109883254000901,0.3870967741935484,0.46153846153846156,0.3333333333333333,0.7333333333333333,0.6724137931034483,14
0.5524475524475525,0.3171028242497104,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.7954545454545454,0.6842105263157895,15
