auroc,auprc,f1,recall,precision,specificity,accuracy,fold
0.7077922077922078,0.41359193229493985,0.46153846153846156,0.42857142857142855,0.5,0.8636363636363636,0.7586206896551724,1
0.5064935064935066,0.26886556095827513,0.19047619047619047,0.14285714285714285,0.2857142857142857,0.8863636363636364,0.7068965517241379,2
0.6525974025974026,0.3416886451550317,0.25,0.21428571428571427,0.3,0.8409090909090909,0.6896551724137931,3
0.6136752136752137,0.3245407179451737,0.2,0.15384615384615385,0.2857142857142857,0.8888888888888888,0.7241379310344828,4
0.7062937062937062,0.3907804767459499,0.1,0.07692307692307693,0.14285714285714285,0.8636363636363636,0.6842105263157895,5
0.6948051948051948,0.3834163902622503,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.9090909090909091,0.7413793103448276,6
0.6623376623376623,0.442589949191201,0.4,0.35714285714285715,0.45454545454545453,0.8636363636363636,0.7413793103448276,7
0.637987012987013,0.42999128476900983,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8181818181818182,0.7241379310344828,8
0.6683760683760684,0.36790151491227585,0.2222222222222222,0.15384615384615385,0.4,0.9333333333333333,0.7586206896551724,9
0.6031468531468531,0.2908687466379774,0.16666666666666666,0.15384615384615385,0.18181818181818182,0.7954545454545454,0.6491228070175439,10
0.702922077922078,0.4534675416208517,0.2727272727272727,0.21428571428571427,0.375,0.8863636363636364,0.7241379310344828,11
0.6396103896103896,0.3547020748458336,0.2962962962962963,0.2857142857142857,0.3076923076923077,0.7954545454545454,0.6724137931034483,12
0.7824675324675325,0.4745668139677356,0.38461538461538464,0.35714285714285715,0.4166666666666667,0.8409090909090909,0.7241379310344828,13
0.7162393162393162,0.4605567978871734,0.4827586206896552,0.5384615384615384,0.4375,0.8,0.7413793103448276,14
0.5996503496503497,0.31133823501505464,0.19047619047619047,0.15384615384615385,0.25,0.8636363636363636,0.7017543859649122,15
