auroc,auprc,f1,recall,precision,specificity,accuracy,tp,fp,tn,fn,fold,best_params
0.7954545454545453,0.6138175845318703,0.125,0.07142857142857142,0.5,0.9772727272727273,0.7586206896551724,1,1,43,13,1,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
0.7443181818181818,0.5443751521918647,0.13333333333333333,0.07142857142857142,1.0,1.0,0.7758620689655172,1,0,44,13,2,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}"
0.7597402597402598,0.5981702557222072,0.3333333333333333,0.21428571428571427,0.75,0.9772727272727273,0.7931034482758621,3,1,43,11,3,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
0.7367521367521368,0.38374003447532856,0.0,0.0,0.0,1.0,0.7758620689655172,0,0,45,13,4,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
0.7307692307692308,0.5809987546274207,0.47619047619047616,0.38461538461538464,0.625,0.9318181818181818,0.8070175438596491,5,3,41,8,5,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
0.8612012987012987,0.6849539897823791,0.25,0.14285714285714285,1.0,1.0,0.7931034482758621,2,0,44,12,6,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
0.6834415584415584,0.45003104054045195,0.23529411764705882,0.14285714285714285,0.6666666666666666,0.9772727272727273,0.7758620689655172,2,1,43,12,7,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}"
0.7954545454545455,0.6877686927998432,0.23529411764705882,0.14285714285714285,0.6666666666666666,0.9772727272727273,0.7758620689655172,2,1,43,12,8,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
0.7282051282051283,0.4485221565764552,0.35294117647058826,0.23076923076923078,0.75,0.9777777777777777,0.8103448275862069,3,1,44,10,9,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
0.6695804195804196,0.43206652480646285,0.13333333333333333,0.07692307692307693,0.5,0.9772727272727273,0.7719298245614035,1,1,43,12,10,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
0.6745129870129871,0.45566055035067643,0.2222222222222222,0.14285714285714285,0.5,0.9545454545454546,0.7586206896551724,2,2,42,12,11,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}"
0.7435064935064936,0.49388330876815334,0.2222222222222222,0.14285714285714285,0.5,0.9545454545454546,0.7586206896551724,2,2,42,12,12,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
0.7435064935064934,0.4947628484866409,0.125,0.07142857142857142,0.5,0.9772727272727273,0.7586206896551724,1,1,43,13,13,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}"
0.7145299145299145,0.5090512405121078,0.3333333333333333,0.23076923076923078,0.6,0.9555555555555556,0.7931034482758621,3,2,43,10,14,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}"
0.8059440559440559,0.6275660370474612,0.375,0.23076923076923078,1.0,1.0,0.8245614035087719,3,0,44,10,15,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}"
