fold,classifier__C,classifier__l1_ratio,selector__k
1,0.01,0.3,50
2,0.01,0.2,50
3,0.01,0.2,50
4,0.1,0.7,200
5,0.1,0.7,50
6,0.1,0.5,100
7,0.1,0.7,200
8,0.1,0.2,50
9,0.01,0.2,50
10,0.1,0.5,100
11,0.1,0.5,200
12,0.01,0.2,200
13,0.1,0.7,50
14,0.1,0.2,200
15,0.01,0.2,50
