auroc,auprc,f1,recall,precision,specificity,accuracy,tp,fp,tn,fn,fold,best_params
0.7305194805194805,0.5677771148188937,0.5116279069767442,0.7857142857142857,0.3793103448275862,0.5909090909090909,0.6379310344827587,11,18,26,3,1,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.7305194805194806,0.607753326450288,0.46153846153846156,0.6428571428571429,0.36,0.6363636363636364,0.6379310344827587,9,16,28,5,2,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.7516233766233766,0.5658997952394487,0.5161290322580645,0.5714285714285714,0.47058823529411764,0.7954545454545454,0.7413793103448276,8,9,35,6,3,"{'clf__C': 1, 'clf__kernel': 'rbf'}"
0.8538461538461539,0.4948687423687424,0.6666666666666666,1.0,0.5,0.7111111111111111,0.7758620689655172,13,13,32,0,4,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.6905594405594406,0.40980654187175924,0.45714285714285713,0.6153846153846154,0.36363636363636365,0.6818181818181818,0.6666666666666666,8,14,30,5,5,"{'clf__C': 0.1, 'clf__kernel': 'linear'}"
0.8425324675324675,0.551157182240485,0.52,0.9285714285714286,0.3611111111111111,0.4772727272727273,0.5862068965517241,13,23,21,1,6,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.7857142857142857,0.5078916040100251,0.5789473684210527,0.7857142857142857,0.4583333333333333,0.7045454545454546,0.7241379310344828,11,13,31,3,7,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.8133116883116882,0.7307211020485952,0.5641025641025641,0.7857142857142857,0.44,0.6818181818181818,0.7068965517241379,11,14,30,3,8,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.7623931623931623,0.5478904830714786,0.5365853658536586,0.8461538461538461,0.39285714285714285,0.6222222222222222,0.6724137931034483,11,17,28,2,9,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.7674825174825175,0.6355917824736608,0.47619047619047616,0.7692307692307693,0.3448275862068966,0.5681818181818182,0.6140350877192983,10,19,25,3,10,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.7516233766233766,0.5936428336410068,0.5142857142857142,0.6428571428571429,0.42857142857142855,0.7272727272727273,0.7068965517241379,9,12,32,5,11,"{'clf__C': 0.1, 'clf__kernel': 'linear'}"
0.9318181818181819,0.7468966082936671,0.717948717948718,1.0,0.56,0.75,0.8103448275862069,14,11,33,0,12,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.7402597402597403,0.5597779444109441,0.5,0.7857142857142857,0.36666666666666664,0.5681818181818182,0.6206896551724138,11,19,25,3,13,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.7111111111111111,0.45263399705707397,0.4444444444444444,0.7692307692307693,0.3125,0.5111111111111111,0.5689655172413793,10,22,23,3,14,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}"
0.8286713286713288,0.6301198801198801,0.5882352941176471,0.7692307692307693,0.47619047619047616,0.75,0.7543859649122807,10,11,33,3,15,"{'clf__C': 1, 'clf__kernel': 'linear'}"
